Category,Sub-category,List Name,List ID,Event Type,Event Date,Events Attended Appendage,Lead Source,Lead Source Description
,,,,,,,,
CyAlliance,,CyAlliance - In-Person Event - RSA - 03/30/26 - Contacts,636,General,03/30/26,CyAlliance - In-Person Event - RSA - 03/30/26,Marketing - Cyalliance,CyAlliance - In-Person Event - RSA - 03/30/26
CyAlliance,,CyAlliance - In-Person Event - ATL - 03/14/26 - Contacts,481,General,03/14/26,CyAlliance - In-Person Event - ATL - 03/14/26,Marketing - Cyalliance,CyAlliance - In-Person Event - ATL - 03/14/26
CyAlliance,,CyAlliance - In-Person Event - ATX - 02/24/26 - Contacts,369,General,02/24/26,CyAlliance - In-Person Event - ATX - 02/24/26,Marketing - Cyalliance,CyAlliance - In-Person Event - ATX - 02/24/26
CyAlliance,,CyAlliance - In-Person Event - DFW - 02/20/26 - Contacts,362,General,02/20/26,CyAlliance - In-Person Event - DFW - 02/20/26,Marketing - Cyalliance,CyAlliance - In-Person Event - DFW - 02/20/26
CyAlliance,,CyAlliance - Virtual Event - 02/11/26 - Contacts,321,General,02/11/26,CyAlliance - Virtual Event - 02/11/26,Marketing - Cyalliance,CyAlliance - Virtual Event - 02/11/26
CyAlliance,,CyAlliance - Virtual Event - 01/09/26 - Contacts,151,General,01/09/26,CyAlliance - Virtual Event - 01/09/26,Marketing - Cyalliance,CyAlliance - Virtual Event - 01/09/26
,,,,,,,,
IANS,IANS - PHL - 05/20/26,IANS - PHL - 05/20/26 - Attendees,1354,General,05/20/26,IANS - PHL - 05/20/26,Marketing - IANS,IANS - PHL - 05/20/26
IANS,IANS - MPLS - 05/12/26,IANS - MPLS - 05/12/26 - Attendees,1353,General,05/12/26,IANS - MPLS - 05/12/26,Marketing - IANS,IANS - MPLS - 05/12/26
,,,,,,,,
Happy Hours,—,Secure the Dish - 06/09/26 - Attendees,973,General,06/09/26,Secure the Dish - 06/09/26,Marketing - Happy Hour,Secure the Dish - 06/09/26
Happy Hours,—,CISO Dinner - 10/08/25 - Attendees,63,General,10/08/25,CISO Dinner - 10/08/25,Marketing - Happy Hour,CISO Dinner - 10/08/25
,,,,,,,,
Trade Shows,Gartner Security Summit - 2026,Gartner Security Summit - 06/04/26 - Contacts,962,General,06/04/26,Gartner Security Summit - 06/04/26,Marketing - Trade Show,Gartner Security Summit - 06/04/26
Trade Shows,—,7AI - Tech Week - BOS - 06/01/26 - Attendees,937,General,06/01/26,7AI - Tech Week - BOS - 06/01/26,Marketing - Trade Show,7AI - Tech Week - BOS - 06/01/26
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - NYC - 11/19/25 - Attendees,1356,General,11/19/25,Cybersecurity Summit - NYC - 11/19/25,Marketing - Trade Show,Cybersecurity Summit - NYC - 11/19/25
Trade Shows,Cybersecurity Summit - 2025,Cybersecurity Summit - BOS - 10/20/25 - Attendees,1357,General,10/20/25,Cybersecurity Summit - BOS - 10/20/25,Marketing - Trade Show,Cybersecurity Summit - BOS - 10/20/25
Trade Shows,—,SecureWorld - TopGolf - PHL - 05/12/26 - Attendees,889,General,05/12/26,SecureWorld - TopGolf - PHL - 05/12/26,Marketing - Trade Show,SecureWorld - TopGolf - PHL - 05/12/26
Trade Shows,Intezer,Intezer - AI SOC Live - 04/28/26 - Contacts,863,General,04/28/26,Intezer - AI SOC Live - 04/28/26,Marketing - Trade Show,Intezer - AI SOC Live - 04/28/26
Trade Shows,—,RSAC - 03/31/26 - Attendees,640,General,03/31/26,RSAC - 03/31/26,Marketing - Trade Show,RSAC - 03/31/26
Trade Shows,FutureCon - BOS - 2025,FutureCon - BOS - 11/21/25 - Attendees,1358,General,11/21/25,FutureCon - BOS - 11/21/25,Marketing - Trade Show,FutureCon - BOS - 11/21/25
Trade Shows,—,IT Security Leaders Lunch - NE - 09/15/25 - Attendees,65,General,09/15/25,IT Security Leaders Lunch - NE - 09/15/25,Marketing - Trade Show,IT Security Leaders Lunch - NE - 09/15/25
